,Opp_at_bats
1398,UNKNOWN
1399,UNKNOWN
1402,UNKNOWN
1403,UNKNOWN
1406,UNKNOWN
1407,UNKNOWN
1408,UNKNOWN
1409,UNKNOWN
1410,UNKNOWN
1411,UNKNOWN
1412,UNKNOWN
1413,UNKNOWN
1416,UNKNOWN
1417,UNKNOWN
1418,UNKNOWN
1419,UNKNOWN
1420,UNKNOWN
1421,UNKNOWN
1422,UNKNOWN
1423,UNKNOWN
1424,UNKNOWN
1425,UNKNOWN
1426,UNKNOWN
1427,UNKNOWN
1428,UNKNOWN
1429,UNKNOWN
1430,UNKNOWN
1431,UNKNOWN
1432,UNKNOWN
1433,UNKNOWN
1434,UNKNOWN
1435,UNKNOWN
1436,UNKNOWN
1437,UNKNOWN
1438,UNKNOWN
1439,UNKNOWN
1440,UNKNOWN
1441,UNKNOWN
1442,UNKNOWN
1443,UNKNOWN
1444,UNKNOWN
1445,UNKNOWN
1446,UNKNOWN
1447,UNKNOWN
1448,UNKNOWN
1449,UNKNOWN
1450,UNKNOWN
1451,UNKNOWN
1452,UNKNOWN
1453,UNKNOWN
1454,UNKNOWN
1455,UNKNOWN
1456,UNKNOWN
1457,UNKNOWN
1458,UNKNOWN
1459,UNKNOWN
1462,UNKNOWN
1463,UNKNOWN
1464,UNKNOWN
1465,UNKNOWN
1466,UNKNOWN
1467,UNKNOWN
1468,UNKNOWN
1469,UNKNOWN
1470,UNKNOWN
1471,UNKNOWN
1472,UNKNOWN
1473,UNKNOWN
1474,UNKNOWN
1475,UNKNOWN
1476,UNKNOWN
1477,UNKNOWN
1478,UNKNOWN
1479,UNKNOWN
1480,UNKNOWN
1481,UNKNOWN
1482,UNKNOWN
1483,UNKNOWN
1484,UNKNOWN
1485,UNKNOWN
1486,UNKNOWN
1487,UNKNOWN
1488,UNKNOWN
1491,UNKNOWN
1492,UNKNOWN
1493,UNKNOWN
1494,UNKNOWN
1495,UNKNOWN
1496,UNKNOWN
1497,UNKNOWN
1498,UNKNOWN
1499,UNKNOWN
1500,UNKNOWN
1501,UNKNOWN
1502,UNKNOWN
1503,UNKNOWN
1504,UNKNOWN
1505,UNKNOWN
1506,UNKNOWN
1507,UNKNOWN
1508,UNKNOWN
1509,UNKNOWN
1510,UNKNOWN
1511,UNKNOWN
1512,UNKNOWN
1513,UNKNOWN
1514,UNKNOWN
1515,UNKNOWN
1516,UNKNOWN
1517,UNKNOWN
1518,UNKNOWN
1519,UNKNOWN
1520,UNKNOWN
1521,UNKNOWN
1522,UNKNOWN
1523,UNKNOWN
1524,UNKNOWN
1525,UNKNOWN
1526,UNKNOWN
1527,UNKNOWN
1528,UNKNOWN
1529,UNKNOWN
1530,UNKNOWN
1531,UNKNOWN
1532,UNKNOWN
1533,UNKNOWN
1534,UNKNOWN
1535,UNKNOWN
1536,UNKNOWN
1537,UNKNOWN
1538,UNKNOWN
1539,UNKNOWN
1540,UNKNOWN
1541,UNKNOWN
1542,UNKNOWN
1543,UNKNOWN
1544,UNKNOWN
1545,UNKNOWN
1546,UNKNOWN
1547,UNKNOWN
1548,UNKNOWN
1549,UNKNOWN
1550,UNKNOWN
1551,UNKNOWN
1552,UNKNOWN
1553,UNKNOWN
1554,UNKNOWN
1555,UNKNOWN
1556,UNKNOWN
1557,UNKNOWN
1558,UNKNOWN
1559,UNKNOWN
1560,UNKNOWN
1561,UNKNOWN
1562,UNKNOWN
1563,UNKNOWN
1564,UNKNOWN
1565,UNKNOWN
1566,UNKNOWN
1567,UNKNOWN
1568,UNKNOWN
1569,UNKNOWN
1570,UNKNOWN
1571,UNKNOWN
1572,UNKNOWN
1573,UNKNOWN
1574,UNKNOWN
1575,UNKNOWN
1576,UNKNOWN
1577,UNKNOWN
1578,UNKNOWN
1579,UNKNOWN
1580,UNKNOWN
1581,UNKNOWN
1582,UNKNOWN
1583,UNKNOWN
1584,UNKNOWN
1585,UNKNOWN
1586,UNKNOWN
1587,UNKNOWN
1588,UNKNOWN
1589,UNKNOWN
1590,UNKNOWN
1591,UNKNOWN
1592,UNKNOWN
1593,UNKNOWN
1594,UNKNOWN
1595,UNKNOWN
1596,UNKNOWN
1597,UNKNOWN
1598,UNKNOWN
1599,UNKNOWN
1600,UNKNOWN
1601,UNKNOWN
1602,UNKNOWN
1603,UNKNOWN
1604,UNKNOWN
1605,UNKNOWN
1606,UNKNOWN
1607,UNKNOWN
1608,UNKNOWN
1609,UNKNOWN
1610,UNKNOWN
1611,UNKNOWN
1612,UNKNOWN
1613,UNKNOWN
1614,UNKNOWN
1615,UNKNOWN
1616,UNKNOWN
1617,UNKNOWN
1618,UNKNOWN
1619,UNKNOWN
1620,UNKNOWN
1621,UNKNOWN
1622,UNKNOWN
1623,UNKNOWN
1624,UNKNOWN
1625,UNKNOWN
1626,UNKNOWN
1627,UNKNOWN
1628,UNKNOWN
1629,UNKNOWN
1630,UNKNOWN
1631,UNKNOWN
1632,UNKNOWN
1633,UNKNOWN
1634,UNKNOWN
1635,UNKNOWN
1636,UNKNOWN
1637,UNKNOWN
1638,UNKNOWN
1639,UNKNOWN
1640,UNKNOWN
1641,UNKNOWN
1642,UNKNOWN
1643,UNKNOWN
1644,UNKNOWN
1645,UNKNOWN
1646,UNKNOWN
1647,UNKNOWN
1648,UNKNOWN
1649,UNKNOWN
1650,UNKNOWN
1651,UNKNOWN
1652,UNKNOWN
1653,UNKNOWN
1654,UNKNOWN
1655,UNKNOWN
1656,UNKNOWN
1657,UNKNOWN
1658,UNKNOWN
1659,UNKNOWN
1660,UNKNOWN
1661,UNKNOWN
1662,UNKNOWN
1663,UNKNOWN
1666,UNKNOWN
1667,UNKNOWN
1668,UNKNOWN
1669,UNKNOWN
1670,UNKNOWN
1671,UNKNOWN
1672,UNKNOWN
1675,UNKNOWN
1676,UNKNOWN
1677,UNKNOWN
1678,UNKNOWN
1679,UNKNOWN
1680,UNKNOWN
1681,UNKNOWN
1682,UNKNOWN
1683,UNKNOWN
1684,UNKNOWN
1685,UNKNOWN
1686,UNKNOWN
1687,UNKNOWN
1688,UNKNOWN
1689,UNKNOWN
1690,UNKNOWN
1691,UNKNOWN
1692,UNKNOWN
1693,UNKNOWN
1694,UNKNOWN
1695,UNKNOWN
1696,UNKNOWN
1697,UNKNOWN
1698,UNKNOWN
1699,UNKNOWN
1702,UNKNOWN
1703,UNKNOWN
1704,UNKNOWN
1705,UNKNOWN
1706,UNKNOWN
1707,UNKNOWN
1708,UNKNOWN
1709,UNKNOWN
1710,UNKNOWN
1711,UNKNOWN
1712,UNKNOWN
1713,UNKNOWN
1714,UNKNOWN
1715,UNKNOWN
1716,UNKNOWN
1717,UNKNOWN
1718,UNKNOWN
1719,UNKNOWN
1720,UNKNOWN
1721,UNKNOWN
1722,UNKNOWN
1723,UNKNOWN
1724,UNKNOWN
1725,UNKNOWN
1726,UNKNOWN
1727,UNKNOWN
1728,UNKNOWN
1729,UNKNOWN
1730,UNKNOWN
1731,UNKNOWN
1732,UNKNOWN
1733,UNKNOWN
1734,UNKNOWN
1735,UNKNOWN
1736,UNKNOWN
1737,UNKNOWN
1738,UNKNOWN
1739,UNKNOWN
1740,UNKNOWN
1741,UNKNOWN
1742,UNKNOWN
1743,UNKNOWN
1744,UNKNOWN
1745,UNKNOWN
1746,UNKNOWN
1747,UNKNOWN
1748,UNKNOWN
1749,UNKNOWN
1750,UNKNOWN
1751,UNKNOWN
1752,UNKNOWN
1753,UNKNOWN
1754,UNKNOWN
1755,UNKNOWN
1756,UNKNOWN
1757,UNKNOWN
1758,UNKNOWN
1759,UNKNOWN
1760,UNKNOWN
1761,UNKNOWN
1762,UNKNOWN
1763,UNKNOWN
1764,UNKNOWN
1765,UNKNOWN
1766,UNKNOWN
1767,UNKNOWN
1768,UNKNOWN
1769,UNKNOWN
1770,UNKNOWN
1771,UNKNOWN
1772,UNKNOWN
1773,UNKNOWN
1774,UNKNOWN
1775,UNKNOWN
1776,UNKNOWN
1777,UNKNOWN
1778,UNKNOWN
1779,UNKNOWN
1780,UNKNOWN
1781,UNKNOWN
1782,UNKNOWN
1783,UNKNOWN
1786,UNKNOWN
1787,UNKNOWN
1788,UNKNOWN
1789,UNKNOWN
1790,UNKNOWN
1791,UNKNOWN
1792,UNKNOWN
1793,UNKNOWN
1794,UNKNOWN
1795,UNKNOWN
1796,UNKNOWN
1797,UNKNOWN
1798,UNKNOWN
1799,UNKNOWN
1800,UNKNOWN
1801,UNKNOWN
1802,UNKNOWN
1803,UNKNOWN
1804,UNKNOWN
1805,UNKNOWN
1806,UNKNOWN
1807,UNKNOWN
1808,UNKNOWN
1809,UNKNOWN
1810,UNKNOWN
1811,UNKNOWN
1812,UNKNOWN
1813,UNKNOWN
1814,UNKNOWN
1815,UNKNOWN
1816,UNKNOWN
1817,UNKNOWN
1818,-1
1819,-1
1820,-1
1821,-1
1822,-1
1823,-1
1824,-1
1825,-1
1826,-1
1827,-1
1828,-1
1829,-1
1830,-1
1831,-1
1832,-1
1833,-1
1834,-1
1835,-1
1836,-1
1837,-1
1838,-1
1839,-1
1840,-1
1841,-1
